iter	Passed	Remaining
0	2	252
1	3	187
2	5	187
3	8	195
4	9	182
5	10	167
6	12	160
7	14	165
8	17	175
9	18	169
10	20	169
11	24	176
12	25	170
13	27	171
14	29	168
15	31	165
16	32	158
17	34	154
18	40	174
19	41	167
20	44	167
21	46	166
22	48	161
23	49	157
24	52	156
25	53	152
26	54	147
27	55	143
28	57	141
29	59	139
30	60	135
31	62	131
32	62	127
33	64	125
34	66	123
35	67	120
36	68	116
37	69	113
38	71	111
39	78	117
40	80	115
41	81	112
42	83	110
43	85	108
44	86	106
45	88	103
46	89	100
47	90	98
48	91	95
49	92	92
50	94	90
51	95	88
52	97	86
53	98	83
54	99	81
55	100	78
56	102	77
57	103	75
58	105	73
59	106	70
60	106	68
61	108	66
62	115	67
63	128	72
64	130	70
65	131	67
66	133	65
67	134	63
68	136	61
69	137	58
70	138	56
71	140	54
72	142	52
73	143	50
74	144	48
75	145	46
76	147	44
77	150	42
78	151	40
79	152	38
80	153	36
81	155	34
82	158	32
83	159	30
84	160	28
85	162	26
86	164	24
87	166	22
88	167	20
89	169	18
90	172	17
91	173	15
92	174	13
93	176	11
94	177	9
95	179	7
96	181	5
97	183	3
98	186	1
99	187	0
